ID,x,y,spID,state0,trayID,rep,day_infected
ID1,0.76,0.43427883,radish,S,1,1,
ID2,2.46,0.43427883,radish,S,1,1,18
ID3,4.16,0.43427883,radish,S,1,1,18
ID4,5.86,0.43427883,radish,S,1,1,12
ID5,7.56,0.43427883,radish,S,1,1,12
ID6,9.26,0.43427883,radish,S,1,1,15
ID7,10.96,0.43427883,radish,S,1,1,18
ID8,12.66,0.43427883,radish,S,1,1,15
ID9,14.36,0.43427883,radish,C,1,1,9
ID10,16.06,0.43427883,radish,S,1,1,9
ID11,17.76,0.43427883,radish,C,1,1,6
ID12,19.46,0.43427883,radish,S,1,1,12
ID13,21.16,0.43427883,radish,S,1,1,12
ID14,22.86,0.43427883,radish,S,1,1,12
ID15,1.61,1.90652201,radish,S,1,1,12
ID16,3.31,1.90652201,radish,S,1,1,15
ID17,5.01,1.90652201,radish,S,1,1,12
ID18,6.71,1.90652201,radish,S,1,1,9
ID19,8.41,1.90652201,radish,S,1,1,9
ID20,10.11,1.90652201,radish,S,1,1,12
ID21,11.81,1.90652201,radish,S,1,1,15
ID22,13.51,1.90652201,radish,S,1,1,12
ID23,15.21,1.90652201,radish,S,1,1,9
ID24,16.91,1.90652201,radish,S,1,1,12
ID25,18.61,1.90652201,radish,S,1,1,12
ID26,20.31,1.90652201,radish,S,1,1,9
ID27,22.01,1.90652201,radish,S,1,1,9
ID28,23.71,1.90652201,radish,S,1,1,15
ID29,0.76,3.3787652,radish,S,1,1,12
ID30,2.46,3.3787652,radish,C,1,1,6
ID31,4.16,3.3787652,radish,S,1,1,9
ID32,5.86,3.3787652,radish,C,1,1,6
ID33,7.56,3.3787652,radish,S,1,1,9
ID34,9.26,3.3787652,radish,S,1,1,12
ID35,10.96,3.3787652,radish,S,1,1,9
ID36,12.66,3.3787652,radish,S,1,1,12
ID37,14.36,3.3787652,radish,C,1,1,6
ID38,16.06,3.3787652,radish,S,1,1,9
ID39,17.76,3.3787652,radish,S,1,1,12
ID40,19.46,3.3787652,radish,S,1,1,9
ID41,21.16,3.3787652,radish,C,1,1,6
ID42,22.86,3.3787652,radish,S,1,1,9
ID43,1.61,4.85100839,radish,S,1,1,15
ID44,3.31,4.85100839,radish,S,1,1,9
ID45,5.01,4.85100839,radish,S,1,1,9
ID46,6.71,4.85100839,radish,S,1,1,9
ID47,8.41,4.85100839,radish,S,1,1,9
